feature,selected,ranking
Dst Port,True,1
Flow Duration,True,1
TotLen Bwd Pkts,True,1
Flow Byts/s,True,1
Bwd Pkt Len Mean,True,1
Bwd Pkt Len Std,True,1
Bwd Pkt Len Max,True,1
Fwd Pkt Len Min,True,1
Fwd IAT Max,True,1
Fwd IAT Mean,True,1
Fwd IAT Tot,True,1
Flow IAT Min,True,1
Flow IAT Max,True,1
Flow IAT Std,True,1
Flow IAT Mean,True,1
Flow Pkts/s,True,1
Fwd PSH Flags,True,1
Fwd IAT Min,True,1
Bwd IAT Mean,True,1
Bwd IAT Max,True,1
Bwd Seg Size Avg,True,1
Subflow Fwd Byts,True,1
SYN Flag Cnt,True,1
FIN Flag Cnt,True,1
Pkt Len Max,True,1
Pkt Len Mean,True,1
Pkt Len Std,True,1
Pkt Len Var,True,1
Bwd Header Len,True,1
Fwd Pkts/s,True,1
Bwd Pkts/s,True,1
Fwd Header Len,True,1
Fwd Seg Size Min,True,1
Init Fwd Win Byts,True,1
Subflow Bwd Byts,True,1
Subflow Bwd Pkts,True,1
